"","X","LGA","variable.x","Homicides","Assaults","Sexual Offences","Abductions","Robberies","Blackmail","A70.Stalking..harassment.and.threatening.behaviour","A80.Dangerous.and.negligent.acts.endangering.people","B10.Arson","B20.Property.damage","B30.Burglary.Break.and.enter","B40.Theft","B50.Deception","B60.Bribery","Drug.Dealing","C20.Cultivate.or.manufacture.drugs","C30.Drug.use.and.possession","C90.Other.drug.offences","D10.Weapons.and.explosives.offences","D20.Disorderly.and.offensive.conduct","D30.Public.nuisance.offences","D40.Public.security.offences","E10.Justice.procedures","E20.Breaches.of.orders","F10.Regulatory.driving.offences","F20.Transport.regulation.offences","F30.Other.government.regulatory.offences","F90.Miscellaneous.offences","variable.y","X..Employment.to.population","X..Labour.force.participation","Unemployment.Rate","Advanced.Diploma.and.Diploma.Level","Bachelor.Degrees","Certificate.Education","Certificate.III...IV.Level","Certificate.Level..nfd","Employed..away.from.work","Employed..worked.full.time","Employed..worked.part.time","Graduate.Diploma.and.Graduate.Certificate.Level","Lived.at.different.address.1.year.ago","Lived.at.different.address.5.years.ago","Lived.at.same.address.1.year.ago","Lived.at.same.address.5.years.ago","Not.in.the.labour.force","Persons.aged.15.years.and.over","Postgraduate.Degree.Level","Total.Certificate.Level","Total.Labour.Force","Unemployed..looking.for.work","Region","X2007.08","X2008.09","X2009.10","X2010.11","X2011.12","X2012.13","X2013.14","X2014.15","X2015.16","Drug.Hospitalisations","All","variable","X.1..199.......","Low.Income.Households","High.Income.Households","X.200..299...","X.300..399","X.400..599","X.600..799","X.800..999."
"37",37,"LATROBE","as.numeric(as.character(cr2$Incidents.Recorded))",29,10343,1433,104,253,24,2035,981,1168,1690,7764,19472,2298,3,547,230,1692,1,1600,3847,509,7,1033,8063,2,31,119,60,"Value",49.2,54.4,9.7,4450,4685,833,13160,1044,1902,16856,10736,891,8728,22103,56463,40386,22395,59998,911,15033,32646,3157,"gippsland",60,72,99,134,115,125,161,155,269,381,65338,"as.numeric(as.character(inc$Value))",9550,7668,3196,15328,14906,15048,11318,8010
"38",38,"LODDON","as.numeric(as.character(cr2$Incidents.Recorded))",6,382,114,8,1,NA,66,32,75,402,467,886,36,NA,20,20,79,NA,73,116,21,NA,44,124,NA,13,10,17,"Value",45,47.3,5.3,427,405,73,1116,103,232,1673,939,86,540,1698,6056,4639,2629,6322,46,1298,2993,158,"loddon",NA,8,7,NA,7,NA,8,16,10,24,3012,"as.numeric(as.character(inc$Value))",1006,590,154,2118,2134,1802,1334,816
"39",39,"MACEDON RANGES","as.numeric(as.character(cr2$Incidents.Recorded))",14,1880,358,10,14,4,304,184,314,2319,1893,4026,425,NA,110,43,464,NA,325,397,129,1,218,948,NA,77,45,30,"Value",59.3,62,4.4,3815,5390,373,6664,753,1245,12691,7806,1219,5065,14243,36973,25857,11408,36659,1456,7786,22739,1002,"loddon",19,21,18,23,33,45,44,61,49,49,14532,"as.numeric(as.character(inc$Value))",5744,5480,2298,5886,6004,7800,6488,5486
"40",40,"MANNINGHAM","as.numeric(as.character(cr2$Incidents.Recorded))",16,2405,535,39,148,30,522,201,232,3761,5586,13479,1732,3,187,102,757,1,391,412,127,8,192,1016,3,11,24,17,"Value",54.2,57.7,6.1,9495,21529,555,9571,1711,2343,31346,19130,2705,13778,36122,94877,69643,37151,97529,7264,11839,56269,3452,"eastern",81,91,86,100,115,191,289,333,255,252,31937,"as.numeric(as.character(inc$Value))",16054,14172,6622,17756,16034,20732,17730,14208
"41",41,"MANSFIELD","as.numeric(as.character(cr2$Incidents.Recorded))",10,320,81,2,1,1,63,50,55,508,367,1018,67,NA,24,18,104,NA,155,250,30,1,38,191,2,154,39,32,"Value",53.6,55.5,3.4,647,746,80,1531,157,237,2084,1460,157,1296,2993,6429,4409,2573,7049,151,1778,3913,132,"hume",21,14,12,10,11,14,14,20,11,15,3581,"as.numeric(as.character(inc$Value))",1064,864,334,1570,1528,1934,1524,1154
"42",42,"MARIBYRNONG","as.numeric(as.character(cr2$Incidents.Recorded))",35,4420,726,70,1015,22,536,215,400,6553,9270,22565,3469,5,958,121,2234,1,1469,2388,216,7,410,1875,4,56,71,16,"Value",60.3,65.7,8.3,6139,15652,484,6271,873,1990,26372,13283,2263,14720,35137,59061,35443,18711,69093,5545,7623,45402,3760,"north/west",155,115,110,112,116,163,291,224,222,249,59127,"as.numeric(as.character(inc$Value))",8508,9430,4929,13084,10878,11506,11400,9508
"43",43,"MAROONDAH","as.numeric(as.character(cr2$Incidents.Recorded))",16,4524,894,43,321,20,676,346,425,6444,6097,21375,2564,1,347,117,1247,NA,1005,1983,179,4,559,6290,5,72,99,35,"Value",61.2,64.6,5.2,9672,14826,788,14677,1707,2620,33660,18650,2659,13573,36938,88425,61042,27840,89771,4236,17170,57961,3025,"eastern",84,104,155,130,146,220,200,274,318,368,55688,"as.numeric(as.character(inc$Value))",13890,15466,6851,14812,16522,20506,18532,15408
"44",44,"MELBOURNE","as.numeric(as.character(cr2$Incidents.Recorded))",77,20003,2715,182,2347,133,2293,930,451,916,11828,14410,3929,16,1788,214,5922,5,4456,5599,1867,54,2512,4910,6,213,702,83,"Value",51.2,57.5,10.9,9134,38192,506,5198,1126,3134,41864,20153,3296,46469,89581,70812,25930,39837,127232,15601,6828,73154,8006,"north/west",167,142,183,207,230,270,332,362,416,530,88561,"as.numeric(as.character(inc$Value))",10424,14652,9616,11030,9200,12212,12586,12184
"45",45,"MELTON","as.numeric(as.character(cr2$Incidents.Recorded))",32,6250,901,84,377,20,1006,682,979,7125,10934,17124,2184,4,540,362,1158,NA,1172,945,139,3,677,2719,7,76,40,36,"Value",58.8,63.6,7.6,9319,11965,1161,17776,2070,3263,38566,18201,1443,17375,47406,104939,67475,31192,102097,2917,21005,64968,4943,"north/west",77,90,89,122,147,169,244,261,311,325,55576,"as.numeric(as.character(inc$Value))",13052,15810,6825,15162,13060,17424,19432,16712
"46",46,"MILDURA","as.numeric(as.character(cr2$Incidents.Recorded))",19,4959,696,44,140,15,620,461,540,6205,6409,12667,1136,2,363,158,1243,2,929,3982,291,2,556,3415,4,22,71,29,"Value",51.6,55.6,7.3,3088,3425,633,7703,751,1374,13573,7554,612,7408,18198,40364,27330,15480,43642,486,9087,24286,1784,"loddon",58,88,57,42,59,70,76,86,124,116,44980,"as.numeric(as.character(inc$Value))",6636,5410,1861,11186,10210,11476,9604,6586
